id,category,citation,population,n,design,comparison,outcome_timing,main_result,confidence_for_ME539,main_limitation,url
16,direct-learning,"Thoeni and Fryer 2026, Computers in Human Behavior Reports",In-person and asynchronous undergraduates,454,Semester randomized field experiment,"Course-grounded RAG chatbot plus usual resources vs usual resources","Semester achievement, interest, self-efficacy, engagement","No statistically detectable effect under this implementation",Moderate,"One introductory marketing course; shallow use; no cross-session memory or personalization",https://doi.org/10.1016/j.chbr.2026.101061
17,direct-learning,"Nie et al. 2025, ACM Learning at Scale",International programming-course learners,5831,Randomized offer with noncompliance,"Course-specific GPT assistant vs no offer","Homework participation and exam","14.2% adoption; no intention-to-treat exam effect; exam participation down 4.3 points; IV estimate +6.8 exam points among compliers",Moderate,"Voluntary course; strong IV assumptions; noncompliance; outside-AI contamination",https://doi.org/10.1145/3698205.3733960
18,direct-learning,"Brender et al. 2026 (first online 2025), EC-TEL",Graduate robotics students,58,Controlled experiment,"Structured prompting interface vs ordinary ChatGPT","Two labs and unstructured transfer lab","No performance or learning difference; prompted behavior did not persist",Moderate,"Small; no non-AI arm; prompt-log category associations were exploratory",https://doi.org/10.1007/978-3-032-03870-8_7
19,direct-learning,"Avello-Martinez et al. 2024, RED",Master's digital-storytelling students,41,RCT,"ChatGPT vs no ChatGPT","Immediate skill and cognitive-load measures","No significant skill advantage; some germane-load reduction",Moderate,"Small; short; one writing context",https://doi.org/10.6018/red.604621
20,direct-learning,"Farrokhnia et al. 2026, International Journal of Educational Technology in Higher Education","Educational-sciences students; level internally inconsistent",70,RCT,"Teacher vs zero-shot AI vs chain-of-thought AI feedback","Immediate revision","Elaborate prompting improved feedback quality but not revised essay quality",Low,"Abstract and limitations say graduate; Methods says third-year bachelor's; one essay; no retention or transfer",https://doi.org/10.1186/s41239-026-00579-9
21,direct-learning,"Huang et al. 2025, Computers in Human Behavior",Graduate advanced-digital-learning students,63,16-week RCT,"ChatGPT-enhanced mobile messaging vs ordinary messaging","Pre/post engagement and HOTS scales plus discussion logs","Treatment improved engagement and measured HOTS",Low,"Many outcomes are scales/content analysis; no delayed independent subject test",https://doi.org/10.1016/j.chb.2025.108659
22,direct-learning,"Natto 2026, BMC Medical Education",Postgraduate dental research methods,52,Nonrandomized quasi-experiment,"Flipped, peer-led, AI-integrated bundle vs lectures","Course performance and satisfaction","Higher satisfaction; performance and critique differences not significant",Low,"AI inseparable from flipped learning, peer critique, and faculty discussion",https://doi.org/10.1186/s12909-026-08576-2
23,AI-literacy,"Connell Pensky et al. 2026, Computers and Education",Undergraduate and graduate students in 65 sections,1368,Cluster-randomized experiment,"90-minute asynchronous module vs no module","Immediate pre/post competency assessment","Improved AI knowledge, prompting, fact/source checks, and self-efficacy; no bias-evaluation gain",Moderate,"Immediate outcome; transfer and durability unknown",https://doi.org/10.1016/j.compedu.2026.105640
24,coding-agent,"Shihab et al. 2025, ICER",Undergraduate computing,10,Fixed-order within-subjects experiment,"GitHub Copilot vs no Copilot on brownfield tasks","Task performance and interviews","35% faster and 50% more progress; concerns about understanding",Low,"Selected A/A- students; Copilot always second; productivity rather than learning",https://doi.org/10.1145/3702652.3744219
25,coding-agent,"Kazemitabaar et al. 2025, IUI",Novice programmers,"82 and 42",Two controlled studies,"Seven cognitive-friction designs for generated code","Calibration and later unaided coding","No significant unaided coding difference; Lead-and-Reveal had strongest perceived-actual alignment without a direct between-condition calibration effect",Low,"Underpowered; novice rather than graduate; time cost 1.82x",https://doi.org/10.1145/3708359.3712104
26,meta-analysis,"Chen and Cheung 2025, Educational Research Review",University students,"57 studies; 5389 learners",Meta-analysis,"GenAI-supported vs comparison conditions","Mixed outcome timing","Overall g=.804; achievement .633; HOTS .580; metacognition .078 nonsignificant",Moderate,"Mixed assisted products, tests, and self-report; heterogeneity; overlapping studies",https://doi.org/10.1016/j.edurev.2025.100737
27,meta-analysis,"Han, Peng, and Liu 2025, Educational Research Review",All education levels,"68 studies; 337 effects",Meta-analysis,"GenAI vs traditional/control","Mixed outcome timing","Overall SMD=.45",Moderate,"I2 about 95%; larger small, short, and precollege effects",https://doi.org/10.1016/j.edurev.2025.100714
28,meta-analysis,"Deng et al. 2025, Computers and Education",Predominantly university,"69 studies reviewed; 62 meta-analyzed",Systematic review and meta-analysis,"ChatGPT interventions vs controls","Mostly immediate/mixed","Achievement g=.71 (k=51); HOTS propensity .70 (k=15); mental effort -.68 (k=4)",Moderate,"Publication-bias signals for achievement and affective outcomes; underpowered studies; assisted output often counted as learning",https://doi.org/10.1016/j.compedu.2024.105224
29,meta-analysis,"Fan et al. 2026, Frontiers in Psychology",Higher education,"36 studies; 132 effects; 7229 learners",Three-level meta-analysis,"GenAI vs comparison","Mostly short; 2 effects longer than 15 weeks","Overall g=.499; collaborative subgroup g=1.026",Moderate,"88/132 effects self-rated; subgroup moderators observational; no graduate subgroup",https://doi.org/10.3389/fpsyg.2026.1758670
30,meta-analysis,"Huang et al. 2026, Education Sciences",Mixed education,"36 studies; 4538 achievement participants",Meta-analysis of GenAI feedback,"GenAI feedback vs comparison","Mixed","Achievement g=.61; metacognition g=1.43 from only five effects",Low,"I2=86.3%; mixed publication types; tiny metacognition base",https://doi.org/10.3390/educsci16060816
31,meta-analysis,"Kaliisa et al. 2026, Educational Psychology",Students,"41 studies; 4813 learners overall",Meta-analysis,"AI vs human feedback","Immediate product/pre-post","Posttest synthesis (11 papers/12 studies): AI vs human g=.25, CI [-.11,.60], nonsignificant",Low,"Only five GenAI studies; 33 language/writing; I2=75% for posttest synthesis",https://doi.org/10.1080/01443410.2025.2553639
32,mechanism,"Sinha and Kapur 2021, Review of Educational Research",Mixed learners,"53 studies; 166 comparisons",Meta-analysis,"Problem solving before instruction vs instruction before problem solving","Conceptual and transfer outcomes","Productive failure g=.36; stronger for conceptual/transfer and older learners",Moderate,"Pre-GenAI; implementation matters",https://doi.org/10.3102/00346543211019105
33,mechanism,"Bisra et al. 2018, Educational Psychology Review",Mixed learners,"69 effects; about 5900 learners",Meta-analysis,"Induced self-explanation vs control","Learning tests","Overall g=.55; g=.41 in time-matched comparisons",High,"Pre-GenAI; heterogeneous tasks",https://doi.org/10.1007/s10648-018-9434-x
34,mechanism,"Yang et al. 2021, Psychological Bulletin",Classroom learners,"222 studies; 573 effects; 48478 learners",Meta-analysis,"Retrieval practice/quizzing vs controls","Later classroom learning","Quizzing g=.499",High,"Mixed levels; graduate-specific evidence limited",https://doi.org/10.1037/bul0000309
35,mechanism,"Morris, Perry, and Wardle 2021, Review of Education",Higher education,"188 eligible; 28 stronger causal studies",Systematic causal review,"Formative assessment and feedback approaches","Course performance","Low-stakes quizzing most promising; peer/tutor feedback implementation-dependent",High,"Only ten studies involved postgraduates; patchy evidence",https://doi.org/10.1002/rev3.3292
36,mechanism,"Thomann and Deutscher 2025, Educational Research Review",Digital learning,"68 experiments",Meta-analysis,"Metacognitive prompts vs controls","Learning/self-regulation","d=.394 raw and .220 bias-adjusted; action and targeted prompts strongest",Moderate,"Mostly pre-GenAI; publication bias",https://doi.org/10.1016/j.edurev.2025.100686
37,mechanism,"Vaccaro, Almaatouq, and Malone 2024, Nature Human Behaviour",Human-AI collaboration,"106 experiments; 370 effects",Preregistered meta-analysis,"Human-AI teams vs humans and best member","Task performance","Teams beat humans g=.64 but underperformed best human/AI g=-.23",Moderate,"Very high heterogeneity; not education-specific",https://doi.org/10.1038/s41562-024-02024-1
38,assessment,"French, Dickerson, and Mulder 2024, Higher Education",Higher education,"122 papers",Scoping review,"High-stakes final examinations","Learning, validity, equity, wellbeing","Weak evidence for one dominant final; distributed evidence is more defensible",Moderate,"Includes argument/opinion as well as empirical work; no pooled causal estimate",https://doi.org/10.1007/s10734-023-01148-z
39,assessment,"Vlachopoulos and Makri 2024, Studies in Educational Evaluation",Higher education,"94 papers; 67 empirical",Systematic review,"Authentic assessment formats","Skills, engagement, implementation","Supports alignment, realistic constraints, multiple evidence, reflection and revision",Low,"Heterogeneous and often self-reported; not evidence of authorship",https://doi.org/10.1016/j.stueduc.2024.101425
40,assessment,"Fleckney, Thompson, and Vaz-Serra 2024, Higher Education Research and Development",Higher education,116,Systematic review,"Peer-assessment designs","Learning and experience","Formative peer feedback strongest; training, rubrics, and multiple rounds help",Moderate,"Narrative review; no meta-analysis/formal study-quality screen",https://doi.org/10.1080/07294360.2024.2407083
41,assessment-vulnerability,"Borges et al. 2024, PNAS",EPFL STEM assessments,"50 courses",Model benchmark with faculty grading,"GPT-3.5/GPT-4 across prompting strategies","Course passing performance","GPT-4 passed most multiple-choice and many open-response courses",Moderate,"Model performance, not student behavior or learning; rapid capability drift",https://doi.org/10.1073/pnas.2414955121
42,assessment-vulnerability,"Scarfe et al. 2024, PLOS ONE",Live university psychology exams,"33 fake accounts",Naturalistic infiltration experiment,"Fully GPT-4-written exam submissions","Marker detection and grades","94% not flagged; AI work graded about half a classification higher",Moderate,"One program; take-home written exams; 2023 model",https://doi.org/10.1371/journal.pone.0305354
43,AI-detection,"Perkins et al. 2024, International Journal of Educational Technology in Higher Education",Known-origin academic samples,"114 samples; 805 tests",Detector benchmark,"Seven detectors on human, AI, and manipulated text","Detection accuracy","Weak baseline performance; about 22% detection after adversarial modification",High,"Technology snapshot; artificial sample",https://doi.org/10.1186/s41239-024-00487-w
44,mechanism,"Guo 2022, Journal of Computer Assisted Learning",Computer-based learners,"Study count not reported in accessible abstract",Meta-analysis,"Metacognitive prompts vs controls","Self-regulation and learning","SRL g=.50; learning g=.40; task-specific adaptive prompts with feedback were stronger",Moderate,"Pre-GenAI; heterogeneous computer-based environments",https://doi.org/10.1111/jcal.12650
45,mechanism,"Wisniewski, Zierer, and Hattie 2020, Frontiers in Psychology",Mixed learners,"435 studies; 994 effects; over 61000 learners",Meta-analysis,"Educational feedback vs controls","Student learning","Average d=.48 in the authors' abstract; effects highly heterogeneous and information-content dependent",High,"Pre-GenAI; feedback is not a uniform treatment",https://doi.org/10.3389/fpsyg.2019.03087
46,mechanism,"Kluger and DeNisi 1996, Psychological Bulletin",Mixed learners and workers,"131 studies; 607 effects; 23663 observations",Meta-analysis,"Feedback interventions vs controls","Performance","Average d=.41; over one-third of interventions reduced performance",Moderate,"Pre-GenAI; broad performance contexts rather than higher education only",https://doi.org/10.1037/0033-2909.119.2.254
47,AI-overreliance,"Kiyak, Coskun, and Budakoglu 2026, Medical Education",Fourth-year medical students,186,RCT,"ChatGPT warning vs no warning before conflicting diagnostic advice","Whether students revised an initial diagnosis","Warning did not change diagnostic revisions: 15.9% vs 15.3%",Low,"One ambiguous diagnostic task; students already showed low advice uptake",https://doi.org/10.1111/medu.70056
48,AI-overreliance,"Bucinca, Malaya, and Gajos 2021, Proceedings of the ACM on Human-Computer Interaction",Adult decision makers,199,Experiment,"Three cognitive-forcing interfaces vs simple explainable-AI interfaces and no AI","Acceptance of incorrect AI recommendations","Cognitive forcing reduced overreliance but was disliked and benefited high-need-for-cognition participants more",Moderate,"Not an educational or GenAI study; task-specific equity and usability tradeoffs",https://doi.org/10.1145/3449287
